Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Machine Learning and AI Foundations: Classification Modeling,"<p>One type of problem absolutely dominates machine learning and artificial intelligence: classification. Binary classification, the predominant method, sorts data into one of two categories: purchase or not, fraud or not, ill or not, etc. Machine learning and AI-based solutions need accurate, well-chosen algorithms in order to perform classification correctly. This course explains why predictive analytics projects are ultimately classification problems, and how data scientists can choose the right strategy (or strategies) for their projects. Instructor Keith McCormick draws on techniques from both traditional statistics and modern machine learning, revealing their strengths and weaknesses. Keith explains how to define your classification strategy, making it clear that the right choice is often a combination of approaches. Then, he demonstrates 11 different algorithms for building out your model, from discriminant analysis to logistic regression to artificial neural networks. Finally, learn how to overcome challenges such as dealing with missing data and performing data reduction. </p><p>Note: These tutorials are focused on the theory and practical application of binary classification algorithms. No software is required to follow along with the course. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2025-11-06 11:05 UTC,2025-11-06 10:24 UTC,false,N/A,
DevOps Foundations,"<p>DevOps ensures collaboration and communication between software engineers (Dev) and IT operations (Ops). With DevOps, changes make it to production faster. Resources are easier to share. And large-scale systems are easier to manage and maintain.
 </p><p>
In this course, well-known DevOps practitioners Ernest Mueller and James Wickett provide an overview of the DevOps movement, focusing on the core value of CAMS (culture, automation, measurement, and sharing). They cover the various methodologies and tools an organization can adopt to transition into DevOps, looking at both agile and lean project management principles and how old-school principles like ITIL, ITSM, and SDLC fit within DevOps.
</p><p>
The course concludes with a discussion of the three main tenets of DevOps—infrastructure automation, continuous delivery, and designing resilient systems—as well as some additional resources and what the future holds.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/devops-professional-certificate-by-pagerduty-and-linkedin?u=104"" target=""_blank"">Professional Certificate</a> from PagerDuty.</p>",Course,2025-10-27 14:04 UTC,2025-10-27 14:04 UTC,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2026-01-05 11:32 UTC,N/A,false,N/A,
Introduction to Business Analytics (2022),"Data is an extremely valuable resource. But without study, it can’t be used to create a data-informed strategy. Business analytics helps organizations leverage data to make better, more informed decisions. This course is a basic introduction that lays out the foundations of analytics in an easy-to-understand and engaging manner. Expert John David Ariansen explains why data is so powerful, what insights really matter, and how to use common analysis tools and techniques. Additionally, John David explores data source maps, database management, and all the various data sources that may be encountered. By the end of the course, you should have the skills necessary to start collecting, tracking, and analyzing a variety of data, including sales, marketing, and psychographic metrics.<br><br>

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2025-11-05 13:59 UTC,2025-11-05 13:58 UTC,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2026-05-20 14:34 UTC,2025-11-18 10:26 UTC,false,N/A,
Hands-On AI: Building Agents with the Google Agent Development Toolkit (ADK),"This course teaches the skills to build and test your own agents using the Google Agent Development Kit. Instructor Jigyasa Grover shows you how to define agents, equip them with various tools including custom functions and third-party integrations, and configure their underlying language models. The course also covers managing input, output, and context within agents to enhance their functionality. Jigyasa also explores the concept of workflow agents, including sequential, loop, and parallel agent systems, and how to leverage built-in and MCP tools within the ADK. By the end of this course, you should understand how to develop agents and multi-agent systems using the Google Agent Development Kit.",Course,2026-02-25 14:22 UTC,N/A,false,N/A,
Prometheus and Grafana: Visualizing Application Performance,"Whether you are already familiar with Grafana or a beginner, Systems Reliability Engineer (SRE) Opeyemi Onikute guides you through what you need to use Prometheus and Grafana to monitor and analyze applications in the real-world. Learn about Prometheus as a data source and explore all the tools you need to succeed with Grafana as a whole, including other data sources in the future. Beyond Grafana, find out how to create world-class dashboards as a whole.",Course,2026-01-27 10:43 UTC,2026-01-27 10:38 UTC,false,N/A,
Deep Learning: Model Optimization and Tuning (2022),"Deep Learning as a technology has grown leaps and bounds in the last few years. More and more AI solutions use Deep Learning as their foundational technology. Studying this technology, however, presents several challenges. IT professionals from varying backgrounds need a simplified resource to learn the concepts and build models quickly. In this course, instructor Kumaran Ponnambalam provides a simplified path to understand various optimization and tuning options available for deep learning models and shows you how to use these options to improve models. He begins by reviewing Deep Learning, including artificial neural networks and architectures. Next, Kumaran discusses the process of hyper parameter tuning. He examines the building blocks of neural networks and the levers available to tune them. Kumaran offers recommendations and best practices. Then he concludes with an end-to-end tuning example.",Course,2025-11-07 10:48 UTC,2025-11-07 10:48 UTC,false,N/A,
Learning Spring with Spring Boot,"Spring is the hugely popular framework for developing Java applications in the enterprise space. In this course, discover how to leverage Spring Boot, which takes an opinionated view of the Spring platform. Follow Frank Moley as he walks through how to use Spring Boot to quickly and efficiently develop a practical, enterprise-style web application. As Frank explains how to develop the app, he helps to familiarize you with the general Spring framework. Plus, Frank dives into some of the basic projects of Spring that you can use to develop Java-based applications.",Course,2024-07-02 09:39 UTC,N/A,false,N/A,
"GitHub Actions for CI/CD: Build, Test, and Deploy","<p>Doing continuous integration and continuous deployment (CI/CD) with GitHub Actions can improve development processes by automating the workflows that handle everything from code integration to deployment. In this course, discover how to configure continuous integration for languages like JavaScript, Python, and Go, to help ensure robust code quality and reliability. See how to automate delivery pipelines to package and publish your software using GitHub Packages and Docker registries. Explore ways to manage deployment credentials securely and review protection rules to help with smooth production rollouts. </p>
<p>This course walks you through creating workflows tailored for cloud deployments, emphasizing scalable and secure practices. Whether you are a software developer or a DevOps engineer, you can simplify complex CI/CD tasks and deliver value faster and more efficiently by automating away the complexities, so you can focus more on delivering value directly to users. </p>",Course,2026-04-09 08:26 UTC,N/A,false,N/A,
Asking Effective Questions During Requirements Elicitation,"Requirements elicitation is a foundational practice in the world of business analysis.  You can gather relevant information about your stakeholders’ needs, only when you ask the right questions. In this course, instructor Joyce Onore helps you get the skills to identify, formulate, and ask effective elicitation questions.<br><br>Learn more about the ins and outs of the requirements elicitation process, from recognizing different types of requirements to determining appropriate questions to make good use of your stakeholders’ time. Get tips on posing the right questions to the right people at the right time. Explore open-ended, close-ended, and probing questions, as well as when and when not to use each. Plus, Joyce provides practical challenges that allow you to test your requirements elicitation skills.",Course,2025-11-06 11:52 UTC,2025-11-06 11:45 UTC,false,N/A,
What you should know,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:103805558,Article (3rd Party Provider),2026-05-20 14:12 UTC,2026-05-20 14:12 UTC,false,N/A,
Lab: Use a transformation,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79727100,Article (3rd Party Provider),2026-01-26 15:18 UTC,2026-01-26 15:18 UTC,false,N/A,
Practice Role Play: Discussing collaboration style with a coworker,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:78888244,Article (3rd Party Provider),2025-11-12 09:43 UTC,2025-11-12 09:43 UTC,false,N/A,
Challenge: Detect irony and climate stance in TweetEval,Text article,Article (3rd Party Provider),2025-12-31 10:40 UTC,2025-12-31 10:40 UTC,false,N/A,
Challenge: Part 1,Text article,Article (3rd Party Provider),2025-12-29 14:29 UTC,2025-12-29 14:29 UTC,false,N/A,
What you should know,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:81475479,Article (3rd Party Provider),2026-01-27 10:45 UTC,2026-01-27 10:45 UTC,false,N/A,
Challenge: Denoise with an autoencoder,Text article,Article (3rd Party Provider),2025-12-29 13:12 UTC,2025-12-29 13:12 UTC,false,N/A,
Linux installation (Debian),CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79721509,Article (3rd Party Provider),2026-01-26 14:39 UTC,2026-01-26 14:39 UTC,false,N/A,
Keep building your ITIL® skills with additional courses,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:82252849,Article (3rd Party Provider),2025-11-06 15:53 UTC,2025-11-06 15:53 UTC,false,N/A,
Lab 2: Make multiple changes to dashboards at once,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79727165,Article (3rd Party Provider),2026-01-27 10:30 UTC,2026-01-27 10:30 UTC,false,N/A,
Challenge: Part 3,Text article,Article (3rd Party Provider),2025-12-30 10:46 UTC,2025-12-30 10:46 UTC,false,N/A,
Lab 1: Create multiple dashboards with Terraform,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79727163,Article (3rd Party Provider),2026-01-27 10:24 UTC,2026-01-27 10:24 UTC,false,N/A,
Lab: Create a smart composite alert,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79726198,Article (3rd Party Provider),2026-01-26 16:13 UTC,2026-01-26 16:13 UTC,false,N/A,
Glossary of terms,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80280061,Article (3rd Party Provider),2025-11-06 11:07 UTC,2025-11-06 11:07 UTC,false,N/A,
Using LoRA and adapters in LLMs,Text article,Article (3rd Party Provider),2025-12-30 13:14 UTC,2025-12-30 13:14 UTC,false,N/A,
How attention mathematically works,,Article (3rd Party Provider),2025-12-30 11:29 UTC,2025-12-30 11:29 UTC,false,N/A,
Practice Role Play: Strengthening empathetic communication as a leader,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:78890186,Article (3rd Party Provider),2025-11-12 09:29 UTC,2025-11-12 09:29 UTC,false,N/A,
Challenge: Part 2,Text article,Article (3rd Party Provider),2025-12-30 10:28 UTC,2025-12-30 10:28 UTC,false,N/A,
Grafana Cloud setup,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79720593,Article (3rd Party Provider),2026-01-26 14:54 UTC,2026-01-26 14:54 UTC,false,N/A,
Challenge: Create a Siamese network,Text article,Article (3rd Party Provider),2025-12-29 11:40 UTC,2025-12-29 11:40 UTC,false,N/A,
Lab: More LLM practice,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79721842,Article (3rd Party Provider),2026-01-26 16:39 UTC,2026-01-26 16:39 UTC,false,N/A,
Challenge: Implement Bahdanau's attention,Text article,Article (3rd Party Provider),2025-12-30 11:42 UTC,2025-12-30 11:42 UTC,false,N/A,
Kubernetes installation,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79717859,Article (3rd Party Provider),2026-01-26 14:54 UTC,2026-01-26 14:54 UTC,false,N/A,
Practice Role Play: Encourage inclusive participation in team meetings,Text article linking to interactive role-play.,Article (3rd Party Provider),2025-11-06 14:53 UTC,2025-11-06 14:53 UTC,false,N/A,
Prerequisites,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80279076,Article (3rd Party Provider),2025-11-06 11:09 UTC,2025-11-06 11:09 UTC,false,N/A,
Challenge: Build a two-layer transformer encoder,Text article,Article (3rd Party Provider),2025-12-30 12:43 UTC,2025-12-30 12:43 UTC,false,N/A,
Next in the series,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80285016,Article (3rd Party Provider),2025-11-06 12:01 UTC,2025-11-06 12:01 UTC,false,N/A,
Docker installation,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79716919,Article (3rd Party Provider),2026-01-26 14:54 UTC,2026-01-26 14:54 UTC,false,N/A,
Optimizers and backpropagation in transformers,Text article,Article (3rd Party Provider),2025-12-30 12:41 UTC,2025-12-30 12:41 UTC,false,N/A,
Lab: Further dashboard improvements,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79727129,Article (3rd Party Provider),2026-01-26 16:01 UTC,2026-01-26 16:01 UTC,false,N/A,
Lab: Make a configuration change to Grafana,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79724252,Article (3rd Party Provider),2026-01-27 10:38 UTC,2026-01-27 10:38 UTC,false,N/A,
Key terms for lean and agile,Read a glossary of key DevOps and project management terms.,Article (3rd Party Provider),2025-11-06 14:43 UTC,2025-11-06 14:43 UTC,false,N/A,
Practice Role Play: Drive accountability with a cross-functional partner,Text article linking to interactive role-play.,Article (3rd Party Provider),2025-11-06 14:33 UTC,2025-11-06 14:33 UTC,false,N/A,
Prometheus setup,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79715928,Article (3rd Party Provider),2026-01-26 14:54 UTC,2026-01-26 14:54 UTC,false,N/A,
Basic Grafana configuration,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:79719691,Article (3rd Party Provider),2026-01-26 14:54 UTC,2026-01-26 14:54 UTC,false,N/A,
